class,count,percentage
BENIGN,2096484,83.11590485425961
DoS Hulk,172849,6.852664288472471
DDoS,128016,5.07524296671136
PortScan,90819,3.6005537666679093
DoS GoldenEye,10286,0.4077923787307294
FTP-Patator,5933,0.23521603956926088
DoS slowloris,5385,0.2134903713265582
DoS Slowhttptest,5228,0.2072660466657839
SSH-Patator,3219,0.12761847823587574
Bot,1953,0.07742742714963197
Web Attack � Brute Force,1470,0.058278708607249874
Web Attack � XSS,652,0.025848787763215586
Infiltration,36,0.001427233680177548
Web Attack � Sql Injection,21,0.0008325529801035697
Heartbleed,11,0.0004360991800542507
