feature_1,feature_2,coefficient
Fwd PSH Flags,SYN Flag Count,1.0
Fwd URG Flags,CWE Flag Count,1.0
RST Flag Count,ECE Flag Count,1.0
Fwd Packet Length Mean,Avg Fwd Segment Size,1.0
Bwd Packet Length Mean,Avg Bwd Segment Size,1.0
Fwd Header Length,Fwd Header Length.1,1.0
Total Fwd Packets,Subflow Fwd Packets,1.0
Total Length of Fwd Packets,Subflow Fwd Bytes,1.0
Total Backward Packets,Subflow Bwd Packets,1.0
Total Length of Bwd Packets,Subflow Bwd Bytes,1.0
Packet Length Std,Packet Length Variance,0.9999892337930744
Idle Mean,Idle Max,0.9994576479784708
Active Mean,Active Max,0.9992573221220122
Idle Mean,Idle Min,0.9989281811028503
Bwd IAT Mean,Bwd IAT Max,0.9980080560255743
Idle Max,Idle Min,0.9976102963824955
Active Mean,Active Min,0.9976060645952735
Bwd IAT Total,Bwd IAT Max,0.9974458789944147
Bwd IAT Total,Bwd IAT Mean,0.9961019213090694
Fwd IAT Mean,Fwd IAT Max,0.9960530508242613
Active Max,Active Min,0.9957755905574404
Flow Packets/s,Fwd Packets/s,0.9956890513610162
Packet Length Mean,Average Packet Size,0.9955854454764391
Flow Packets/s,Flow IAT Mean,-0.9955410128138691
Fwd IAT Total,Fwd IAT Max,0.9937269428429882
Fwd IAT Total,Fwd IAT Mean,0.9903530355898081
Flow Duration,Flow IAT Max,0.9890328011172079
Flow IAT Mean,Fwd Packets/s,-0.9885306415041232
Fwd Packet Length Min,Min Packet Length,0.9860108654769923
Flow Packets/s,Flow IAT Max,-0.9854149452472615
Flow IAT Max,Fwd Packets/s,-0.9815939953495665
Max Packet Length,Packet Length Mean,0.9802332435151281
Max Packet Length,Packet Length Variance,0.9801892871066751
Max Packet Length,Packet Length Std,0.9801829838513383
Total Length of Bwd Packets,Bwd Packet Length Max,0.9794652602458158
Bwd Packet Length Max,Subflow Bwd Bytes,0.9794652602458158
Bwd Packet Length Max,Bwd Packet Length Mean,0.9787515317050562
Bwd Packet Length Max,Avg Bwd Segment Size,0.9787515317050562
Flow IAT Mean,Flow IAT Max,0.9768459611477446
Total Backward Packets,Bwd Header Length,0.9759088997865982
Bwd Header Length,Subflow Bwd Packets,0.9759088997865982
Flow Duration,Flow Packets/s,-0.9731346139344575
Flow Duration,Fwd Packets/s,-0.9694697553248481
Max Packet Length,Average Packet Size,0.9690506892353833
Total Length of Bwd Packets,Bwd Packet Length Mean,0.9640588979556567
Total Length of Bwd Packets,Avg Bwd Segment Size,0.9640588979556567
Bwd Packet Length Mean,Subflow Bwd Bytes,0.9640588979556567
Avg Bwd Segment Size,Subflow Bwd Bytes,0.9640588979556567
Flow Duration,Flow IAT Mean,0.9620724891187561
Active Min,Idle Min,0.9617770180039154
Active Min,Idle Mean,0.9608792918427197
Active Mean,Idle Min,0.9607331561662841
Active Mean,Idle Mean,0.9604830351813324
Active Max,Idle Max,0.9603257868874671
Active Mean,Idle Max,0.960314653495435
Active Min,Idle Max,0.9603099993744935
Active Max,Idle Mean,0.9602321795740121
Active Max,Idle Min,0.960220234960917
Total Fwd Packets,Fwd Header Length,0.9546016753035131
Total Fwd Packets,Fwd Header Length.1,0.9546016753035131
Fwd Header Length,Subflow Fwd Packets,0.9546016753035131
Fwd Header Length.1,Subflow Fwd Packets,0.9546016753035131
Packet Length Mean,Packet Length Variance,0.9521829490425399
Packet Length Mean,Packet Length Std,0.9521782822259192
Bwd Packet Length Max,Max Packet Length,0.9413326910963143
Packet Length Variance,Average Packet Size,0.9391564886634768
Packet Length Std,Average Packet Size,0.9391509484292364
Total Backward Packets,Bwd IAT Total,0.9352070564610919
Bwd IAT Total,Subflow Bwd Packets,0.9352070564610919
Active Std,Idle Std,0.9345065537055993
Total Length of Fwd Packets,Fwd Packet Length Max,0.9337330502044746
Fwd Packet Length Max,Subflow Fwd Bytes,0.9337330502044746
Fwd Packet Length Max,Fwd Packet Length Mean,0.9309392111396848
Fwd Packet Length Max,Avg Fwd Segment Size,0.9309392111396848
Total Backward Packets,Bwd IAT Max,0.92609224888397
Bwd IAT Max,Subflow Bwd Packets,0.92609224888397
Bwd Packet Length Max,Packet Length Mean,0.923519150325234
Bwd Packet Length Mean,Packet Length Mean,0.9231928042118033
Packet Length Mean,Avg Bwd Segment Size,0.9231928042118033
Bwd Packet Length Max,Packet Length Variance,0.9221673618441413
Bwd Packet Length Max,Packet Length Std,0.9221582058466308
Total Length of Bwd Packets,Max Packet Length,0.9216003571169895
Max Packet Length,Subflow Bwd Bytes,0.9216003571169895
Bwd Packet Length Mean,Average Packet Size,0.9206841518930863
Average Packet Size,Avg Bwd Segment Size,0.9206841518930863
Total Backward Packets,Bwd IAT Mean,0.9178870970955854
Bwd IAT Mean,Subflow Bwd Packets,0.9178870970955854
Total Fwd Packets,Fwd IAT Total,0.9159239075538286
Fwd IAT Total,Subflow Fwd Packets,0.9159239075538286
Bwd Packet Length Max,Average Packet Size,0.9131013696684868
Bwd Packet Length Mean,Max Packet Length,0.9129731744474529
Max Packet Length,Avg Bwd Segment Size,0.9129731744474529
Bwd IAT Total,Bwd Header Length,0.9126652456043326
Total Length of Bwd Packets,Packet Length Mean,0.9076292246424482
Packet Length Mean,Subflow Bwd Bytes,0.9076292246424482
Total Length of Bwd Packets,Packet Length Variance,0.9046144190311547
Packet Length Variance,Subflow Bwd Bytes,0.9046144190311547
Total Length of Bwd Packets,Packet Length Std,0.9046064572068893
Packet Length Std,Subflow Bwd Bytes,0.9046064572068893
Bwd IAT Max,Bwd Header Length,0.9041336812662019
