feature,mean,std,min,25%,50%,75%,max,variance
Flow Duration,16581323.773163011,35224259.60588356,-13.0,208.0,50577.0,5329717.25,119999998.0,1240748464782680.5
Fwd IAT Total,16241759.007512404,35157806.18661884,0.0,1.0,49.0,5034750.0,120000000.0,1236071335855854.0
Bwd IAT Total,11103358.52380586,30221127.42569355,0.0,0.0,3.0,150440.0,120000000.0,913316542880006.8
Flow Bytes/s,1409835.0809962277,26562624.904975027,-261000000.0,119.456785025,3723.905991,106896.5517,2071000000.0,705573041842399.5
Fwd IAT Max,10136646.258397883,25759746.98875172,0.0,1.0,49.0,4196691.75,120000000.0,663564564924503.2
Flow IAT Max,10293098.691924078,25678684.374231633,-13.0,176.0,46474.0,4999418.0,120000000.0,659394831191407.9
Idle Max,9757716.419817219,25610668.41836201,0.0,0.0,0.0,0.0,120000000.0,655906336835285.2
Idle Mean,9331577.511171268,24841565.364853293,0.0,0.0,0.0,0.0,120000000.0,617103369776278.6
Idle Min,8887156.719966443,24574807.83088886,0.0,0.0,0.0,0.0,120000000.0,603921179925116.5
Fwd Header Length,-29182.101015635344,22302705.043152817,-32212234632.0,40.0,64.0,144.0,4644908.0,497410652241874.06
Fwd Header Length.1,-29182.101015635344,22302705.043152817,-32212234632.0,40.0,64.0,144.0,4644908.0,497410652241874.06
Bwd IAT Max,5257357.549891729,18096545.60190395,0.0,0.0,3.0,121109.0,120000000.0,327484962721789.1
Fwd IAT Std,3666365.8656885223,10139341.746618079,0.0,0.0,0.0,566328.429575,84602929.2769822,102806251054712.17
Fwd IAT Mean,2917447.144104732,10013552.280383144,0.0,1.0,49.0,736932.267825,120000000.0,100271229271966.44
Bwd IAT Mean,2026476.9200680824,9390609.159989992,0.0,0.0,3.0,29690.0,120000000.0,88183540395687.95
Fwd IAT Min,1134966.7537518404,9056732.995849136,-12.0,0.0,3.0,49.0,120000000.0,82024412558102.48
Bwd IAT Min,1085437.7675448647,8794528.378837151,0.0,0.0,3.0,47.0,120000000.0,77343729406172.02
Flow IAT Std,3276120.0033367104,8454525.131183013,0.0,0.0,12313.31031,1489260.53472753,84800261.5664079,71478995193805.14
Bwd IAT Std,1667646.6903988973,6628389.189646714,0.0,0.0,0.0,29091.095433698923,84418013.7826341,43935543249425.42
Idle Std,565443.3161973247,4872677.989118011,0.0,0.0,0.0,0.0,76900000.0,23742990785635.145
Flow IAT Mean,1445245.5976450397,4681882.761982357,-13.0,83.0,20425.3333333333,556115.8889,120000000.0,21920026196947.543
Flow IAT Min,170315.69862731837,3013372.3002204723,-14.0,3.0,4.0,69.0,120000000.0,9080412619736.02
Total Length of Bwd Packets,18133.153929927583,2397433.8225709507,0.0,6.0,155.0,988.0,655453030.0,5747688933607.161
Subflow Bwd Bytes,18132.772273765622,2397401.2279431424,0.0,6.0,155.0,988.0,655453030.0,5747532647743.288
Packet Length Variance,545438.6147584696,1735992.8983338308,0.0,5.333333333,1045.333333,103736.15182500001,22400000.0,3013671343065.494
Bwd Header Length,-2553.6438013259003,1538422.2859108169,-1073741320.0,20.0,40.0,132.0,5838440.0,2366743129787.0635
min_seg_size_forward,-3080.3070288880026,1149401.7094140875,-536870661.0,20.0,20.0,32.0,138.0,1321124289604.0264
Active Max,171910.43539824974,1085243.0254122526,0.0,0.0,0.0,0.0,110000000.0,1177752424205.9395
