feature,outlier_count,outlier_percentage,q1,q3,iqr
Destination Port,546849,21.680036410316998,53.0,443.0,390.0
Flow Duration,468223,18.562878762049223,208.0,5329717.25,5329509.25
Total Fwd Packets,253005,10.030479368147791,2.0,6.0,4.0
Total Backward Packets,239223,9.48408674091982,1.0,5.0,4.0
Total Length of Fwd Packets,315337,12.501655194615205,12.0,332.0,320.0
Total Length of Bwd Packets,575636,22.821307964518972,6.0,988.0,982.0
Fwd Packet Length Max,245589,9.736469230031217,6.0,202.0,196.0
Fwd Packet Length Min,13109,0.5197112864846521,0.0,37.0,37.0
Fwd Packet Length Mean,177396,7.0329318313548965,6.0,52.0,46.0
Fwd Packet Length Std,236283,9.36752932370532,0.0,74.13913347,74.13913347
Bwd Packet Length Max,374533,14.848503109387154,6.0,746.0,740.0
Bwd Packet Length Min,66534,2.637765713248138,0.0,82.0,82.0
Bwd Packet Length Mean,437353,17.339025881296973,6.0,218.0,212.0
Bwd Packet Length Std,448568,17.783648818052285,0.0,262.4918684,262.4918684
Flow Bytes/s,475057,18.833815289002924,119.456785025,106896.5517,106777.094914975
Flow Packets/s,252588,10.013947244685735,2.0304884296749997,17857.14286,17855.112371570325
Flow IAT Mean,504071,19.98408634446602,83.0,556115.8889,556032.8889
Flow IAT Std,434910,17.242172217944926,0.0,1489260.53472753,1489260.53472753
Flow IAT Max,296262,11.74541957102113,176.0,4999418.0,4999242.0
Flow IAT Min,480779,19.060666153391146,3.0,69.0,66.0
Fwd IAT Total,458117,18.16222255171938,1.0,5034750.0,5034749.0
Fwd IAT Mean,507509,20.120387160922977,1.0,736932.267825,736931.267825
Fwd IAT Std,596934,23.66567526786401,0.0,566328.429575,566328.429575
Fwd IAT Max,301302,11.945232286245986,1.0,4196691.75,4196690.75
Fwd IAT Min,513405,20.354136321432055,0.0,49.0,49.0
Bwd IAT Total,527568,20.915633838441906,0.0,150440.0,150440.0
Bwd IAT Mean,519382,20.591096757721534,0.0,29690.0,29690.0
Bwd IAT Std,496950,19.7017715934509,0.0,29091.095433698923,29091.095433698923
Bwd IAT Max,509085,20.182868279810748,0.0,121109.0,121109.0
Bwd IAT Min,284672,11.285929616763969,0.0,47.0,47.0
Fwd PSH Flags,122935,4.873804790906301,0.0,0.0,0.0
Bwd PSH Flags,0,0.0,0.0,0.0,0.0
Fwd URG Flags,80,0.0031716304003945512,0.0,0.0,0.0
Bwd URG Flags,0,0.0,0.0,0.0,0.0
Fwd Header Length,280350,11.114582284382655,40.0,144.0,104.0
Bwd Header Length,242417,9.610714084655573,20.0,132.0,112.0
Fwd Packets/s,256473,10.167969546004896,1.21047540575,9433.962264,9432.75178859425
Bwd Packets/s,590360,23.405046539711588,0.16765054925,2083.333333,2083.16568245075
Min Packet Length,8395,0.3328229651414032,0.0,37.0,37.0
Max Packet Length,365211,14.478928876981179,6.0,1106.0,1100.0
Packet Length Mean,381579,15.127844456901904,6.0,155.3333333,149.3333333
Packet Length Std,330786,13.1141366703114,2.309401077,322.08097087500005,319.77156979800003
Packet Length Variance,493485,19.564400351733813,5.333333333,103736.15182500001,103730.81849166701
FIN Flag Count,81086,3.2146852830799064,0.0,0.0,0.0
SYN Flag Count,122935,4.873804790906301,0.0,0.0,0.0
RST Flag Count,686,0.027196730683383272,0.0,0.0,0.0
PSH Flag Count,0,0.0,0.0,1.0,1.0
ACK Flag Count,0,0.0,0.0,1.0,1.0
URG Flag Count,255837,10.142755084321758,0.0,0.0,0.0
CWE Flag Count,80,0.0031716304003945512,0.0,0.0,0.0
ECE Flag Count,689,0.027315666823398067,0.0,0.0,0.0
Down/Up Ratio,26897,1.066341785992653,0.0,1.0,1.0
Average Packet Size,366252,14.520199717566312,9.0,179.6153846,170.6153846
Avg Fwd Segment Size,177396,7.0329318313548965,6.0,52.0,46.0
Avg Bwd Segment Size,437353,17.339025881296973,6.0,218.0,212.0
Fwd Header Length.1,280350,11.114582284382655,40.0,144.0,104.0
Fwd Avg Bytes/Bulk,0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,253005,10.030479368147791,2.0,6.0,4.0
Subflow Fwd Bytes,315337,12.501655194615205,12.0,332.0,320.0
Subflow Bwd Packets,239223,9.48408674091982,1.0,5.0,4.0
Subflow Bwd Bytes,575636,22.821307964518972,6.0,988.0,982.0
Init_Win_bytes_forward,398436,15.796146627645042,-1.0,8192.0,8193.0
Init_Win_bytes_backward,284651,11.285097063783866,-1.0,235.0,236.0
act_data_pkt_fwd,193770,7.682085283555651,0.0,3.0,3.0
min_seg_size_forward,2020,0.08008366760996241,20.0,32.0,12.0
Active Mean,558825,22.154829481256062,0.0,0.0,0.0
Active Std,205534,8.14847353393367,0.0,0.0,0.0
Active Max,558825,22.154829481256062,0.0,0.0,0.0
Active Min,558825,22.154829481256062,0.0,0.0,0.0
Idle Mean,567235,22.488247127097537,0.0,0.0,0.0
Idle Std,229243,9.088425848470601,0.0,0.0,0.0
Idle Max,567235,22.488247127097537,0.0,0.0,0.0
Idle Min,567235,22.488247127097537,0.0,0.0,0.0
