Feature,Mean_Absolute_SHAP,Rank
Flow IAT Std,1.5125976913211796,1
Bwd Packet Length Max,1.0409923312602243,2
Bwd Packets/s,0.7686604122764084,3
Flow Bytes/s,0.4350761425470446,4
Init_Win_bytes_backward,0.39814593247720875,5
Total Length of Fwd Packets,0.33070226027964533,6
Destination Port,0.2896170051297247,7
Fwd IAT Min,0.21469755623378312,8
Init_Win_bytes_forward,0.18629152701127566,9
Fwd Packet Length Max,0.15471831099933472,10
Fwd Header Length,0.11051305149615451,11
Bwd Header Length,0.09977283578287162,12
min_seg_size_forward,0.08059232613790235,13
act_data_pkt_fwd,0.062247369386450535,14
PSH Flag Count,0.05008242331905603,15
Active Std,0.02728951666954906,16
Active Mean,0.026051993600375335,17
Active Max,0.0126250939448562,18
FIN Flag Count,0.006378167933078174,19
Idle Std,0.0006865057205036281,20
